,Week 0,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16
Mon,08-30-2021,09-6-2021,09-13-2021,09-20-2021,09-27-2021,10-4-2021,10-11-2021,10-18-2021,10-25-2021,11-1-2021,11-8-2021,11-15-2021,11-22-2021,11-29-2021,12-6-2021,12-13-2021,12-20-2021
Tue,08-31-2021,09-7-2021,09-14-2021,09-21-2021,09-28-2021,10-5-2021,10-12-2021,10-19-2021,10-26-2021,11-2-2021,11-9-2021,11-16-2021,11-23-2021,11-30-2021,12-7-2021,12-14-2021,12-21-2021
Wed,09-1-2021,09-8-2021,09-15-2021,09-22-2021,09-29-2021,10-6-2021,10-13-2021,10-20-2021,10-27-2021,11-3-2021,11-10-2021,11-17-2021,11-24-2021,12-1-2021,12-8-2021,12-15-2021,12-22-2021
Thu,09-2-2021,09-9-2021,09-16-2021,09-23-2021,09-30-2021,10-7-2021,10-14-2021,10-21-2021,10-28-2021,11-4-2021,11-11-2021,11-18-2021,11-25-2021,12-2-2021,12-9-2021,12-16-2021,12-23-2021
Fri,09-3-2021,09-10-2021,09-17-2021,09-24-2021,10-1-2021,10-8-2021,10-15-2021,10-22-2021,10-29-2021,11-5-2021,11-12-2021,11-19-2021,11-26-2021,12-3-2021,12-10-2021,12-17-2021,12-24-2021
Sat,09-4-2021,09-11-2021,09-18-2021,09-25-2021,10-2-2021,10-9-2021,10-16-2021,10-23-2021,10-30-2021,11-6-2021,11-13-2021,11-20-2021,11-27-2021,12-4-2021,12-11-2021,12-18-2021,12-25-2021
Sun,09-5-2021,09-12-2021,09-19-2021,09-26-2021,10-3-2021,10-10-2021,10-17-2021,10-24-2021,10-31-2021,11-7-2021,11-14-2021,11-21-2021,11-28-2021,12-5-2021,12-12-2021,12-19-2021,12-26-2021
