,Week 0,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15
Sun,01-1-2022,01-2-2022,01-9-2022,01-16-2022,01-23-2022,01-30-2022,02-6-2022,02-13-2022,02-20-2022,02-27-2022,03-6-2022,03-13-2022,03-20-2022,03-27-2022,04-3-2022,04-10-2022
Mon,,01-3-2022,01-10-2022,01-17-2022,01-24-2022,01-31-2022,02-7-2022,02-14-2022,02-21-2022,02-28-2022,03-7-2022,03-14-2022,03-21-2022,03-28-2022,04-4-2022,04-11-2022
Tue,,01-4-2022,01-11-2022,01-18-2022,01-25-2022,02-1-2022,02-8-2022,02-15-2022,02-22-2022,03-1-2022,03-8-2022,03-15-2022,03-22-2022,03-29-2022,04-5-2022,04-12-2022
Wed,,01-5-2022,01-12-2022,01-19-2022,01-26-2022,02-2-2022,02-9-2022,02-16-2022,02-23-2022,03-2-2022,03-9-2022,03-16-2022,03-23-2022,03-30-2022,04-6-2022,04-13-2022
Thu,,01-6-2022,01-13-2022,01-20-2022,01-27-2022,02-3-2022,02-10-2022,02-17-2022,02-24-2022,03-3-2022,03-10-2022,03-17-2022,03-24-2022,03-31-2022,04-7-2022,04-14-2022
Fri,,01-7-2022,01-14-2022,01-21-2022,01-28-2022,02-4-2022,02-11-2022,02-18-2022,02-25-2022,03-4-2022,03-11-2022,03-18-2022,03-25-2022,04-1-2022,04-8-2022,04-15-2022
Sat,,01-8-2022,01-15-2022,01-22-2022,01-29-2022,02-5-2022,02-12-2022,02-19-2022,02-26-2022,03-5-2022,03-12-2022,03-19-2022,03-26-2022,04-2-2022,04-9-2022,04-16-2022
