,Week 0,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Week 17
0,04-25-2022,05-2-2022,05-9-2022,05-16-2022,05-23-2022,05-30-2022,06-6-2022,06-13-2022,06-20-2022,06-27-2022,07-4-2022,07-11-2022,07-18-2022,07-25-2022,08-1-2022,08-8-2022,08-15-2022,08-22-2022
1,04-26-2022,05-3-2022,05-10-2022,05-17-2022,05-24-2022,05-31-2022,06-7-2022,06-14-2022,06-21-2022,06-28-2022,07-5-2022,07-12-2022,07-19-2022,07-26-2022,08-2-2022,08-9-2022,08-16-2022,08-23-2022
2,04-27-2022,05-4-2022,05-11-2022,05-18-2022,05-25-2022,06-1-2022,06-8-2022,06-15-2022,06-22-2022,06-29-2022,07-6-2022,07-13-2022,07-20-2022,07-27-2022,08-3-2022,08-10-2022,08-17-2022,08-24-2022
3,04-28-2022,05-5-2022,05-12-2022,05-19-2022,05-26-2022,06-2-2022,06-9-2022,06-16-2022,06-23-2022,06-30-2022,07-7-2022,07-14-2022,07-21-2022,07-28-2022,08-4-2022,08-11-2022,08-18-2022,08-25-2022
4,04-29-2022,05-6-2022,05-13-2022,05-20-2022,05-27-2022,06-3-2022,06-10-2022,06-17-2022,06-24-2022,07-1-2022,07-8-2022,07-15-2022,07-22-2022,07-29-2022,08-5-2022,08-12-2022,08-19-2022,08-26-2022
5,04-30-2022,05-7-2022,05-14-2022,05-21-2022,05-28-2022,06-4-2022,06-11-2022,06-18-2022,06-25-2022,07-2-2022,07-9-2022,07-16-2022,07-23-2022,07-30-2022,08-6-2022,08-13-2022,08-20-2022,08-27-2022
6,05-1-2022,05-8-2022,05-15-2022,05-22-2022,05-29-2022,06-5-2022,06-12-2022,06-19-2022,06-26-2022,07-3-2022,07-10-2022,07-17-2022,07-24-2022,07-31-2022,08-7-2022,08-14-2022,08-21-2022,08-28-2022
